sep=;
Account number;Card number;Account/Cardholder;Purchase date;Booking text;Sector;Amount;Original currency;Rate;Currency;Debit;Credit;Booked
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;20.02.2028;NOVAE RESTAURATION       POISSY       FRA;Fast-Food Restaurants;8.85;EUR;;EUR;8.85;;21.02.2027
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;20.02.2029;Alza.cz a.s.             Prague       CZE;Department stores;84.89;EUR;;EUR;84.89;;21.02.2028
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;20.02.2030;NOVAE RESTAURATION       POISSY       FRA;Fast-Food Restaurants;8.45;EUR;;EUR;8.45;;21.02.2029
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;20.02.2031;LE PHARO                 PERON        FRA;Gasoline service stations;45.02;EUR;;EUR;45.02;;21.02.2030
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;20.02.2032;INTERMARCHE              SAINT-GENIS-PFRA;Grocery stores;69.28;EUR;;EUR;69.28;;21.02.2031
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;18.02.2025;NOVAE RESTAURATION       POISSY       FRA;Fast-Food Restaurants;7.25;EUR;;EUR;7.25;;21.02.2032
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;17.02.2025;NOVAE RESTAURATION       POISSY       FRA;Fast-Food Restaurants;6.1;EUR;;EUR;6.1;;21.02.2033
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;16.02.2025;LA BOULANGE              THOIRY       FRA;Bakeries;5.8;EUR;;EUR;5.8;;21.02.2034
9898 9898 9898;;JOE DOE;15.02.2025;TRANSFER FROM ACCOUNT;;300.0;CHF;;CHF;;300.0;21.02.2035
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;15.02.2025;SBB CFF FFS Mobile TicketBern         CHE;Commuter transportation;2.0;CHF;;CHF;2.0;;17.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;15.02.2025;Confiserie Sprungli AG V2Geneve       CHE;Candy and nut stores;49.15;CHF;;CHF;49.15;;17.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;15.02.2026;Globus Geneve Gastro     Geneve       CHE;Department stores;18.1;CHF;;CHF;18.1;;17.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;15.02.2027;SBB CFF FFS Mobile TicketBern         CHE;Commuter transportation;38.0;CHF;;CHF;38.0;;17.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;15.02.2028;SBB CFF FFS Mobile TicketBern         CHE;Commuter transportation;58.5;CHF;;CHF;58.5;;17.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;15.02.2029;SBB CFF FFS Mobile TicketBern         CHE;Commuter transportation;2.0;CHF;;CHF;2.0;;17.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;15.02.2030;LA BOULANGE              THOIRY       FRA;Bakeries;1.2;EUR;;EUR;1.2;;17.02.2026
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;15.02.2031;O DELICE                 PREVESSIN-MOEFRA;Fast-Food Restaurants;1.1;EUR;;EUR;1.1;;17.02.2027
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;15.02.2032;INTERMARCHE              SAINT-GENIS-PFRA;Grocery stores;97.98;EUR;;EUR;97.98;;17.02.2028
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;15.02.2033;LLOYD Shoes Retail GmbH  Sulingen     DEU;Shoe stores;223.92;EUR;;EUR;223.92;;17.02.2029
9898 9898 9898;;JOE DOE;15.02.2034;TRANSFER FROM ACCOUNT;;500.0;EUR;;EUR;;500.0;17.02.2030
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;15.02.2035;CERN Restaurant no 2     Meyrin       CHE;Restaurants;14.7;CHF;;CHF;14.7;;17.02.2031
9898 9898 9898;;JOE DOE;13.02.2025;TRANSFER FROM ACCOUNT;;200.0;EUR;;EUR;;200.0;17.02.2032
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;13.02.2025;NYA*Novae Restauration   218046010    CHE;Grocery stores;1.8;CHF;;CHF;1.8;;17.02.2033
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;12.02.2025;NOVAE RESTAURATION       POISSY       FRA;Fast-Food Restaurants;6.1;EUR;;EUR;6.1;;17.02.2034
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;11.02.2025;JETSTAR AI  0000000VQBFGATOKYO        JPN;Airlines;161.35;EUR;;EUR;161.35;;17.02.2035
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;11.02.2025;NOVAE RESTAURATION       POISSY       FRA;Fast-Food Restaurants;9.85;EUR;;EUR;9.85;;17.02.2036
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;11.02.2025;LA BOULANGE              THOIRY       FRA;Bakeries;1.2;EUR;;EUR;1.2;;17.02.2037
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;10.02.2025;INTERMARCHE              SAINT-GENIS-PFRA;Grocery stores;88.19;EUR;;EUR;88.19;;11.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;10.02.2026;NOVAE RESTAURATION       POISSY       FRA;Fast-Food Restaurants;6.55;EUR;;EUR;6.55;;11.02.2025
9898 9898 9898;;JOE DOE;10.02.2027;TRANSFER FROM ACCOUNT;;1000.0;CHF;;CHF;;1000.0;11.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;10.02.2028;SNACK OUCHY              LAUSANNE     CHE;Grocery stores;2.2;CHF;11.023.595;EUR;2.43;;11.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;10.02.2029;PARKING DU ROTILLON      LAUSANNE     CHE;Parking & Garages;5.0;CHF;;CHF;5.0;;10.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;10.02.2030;SBB CFF FFS Mobile TicketBern         CHE;Commuter transportation;2.4;CHF;;CHF;2.4;;10.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;10.02.2031;LA FOLIE DOUCE           MORZINE      FRA;Restaurants;32.0;EUR;;EUR;32.0;;10.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;10.02.2032;LA FOLIE DOUCE           MORZINE      FRA;Restaurants;2.5;EUR;;EUR;2.5;;10.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;10.02.2033;Le Freti                 ANNECY       FRA;Restaurants;129.69;EUR;;EUR;129.69;;10.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;10.02.2034;LA BOULANGE              THOIRY       FRA;Bakeries;14.8;EUR;;EUR;14.8;;10.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;07.02.2025;AREA NFC        4763763  69BRON CEDEX FRA;Toll and bridge fees;9.2;EUR;;EUR;9.2;;10.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;07.02.2025;DAC ESS MIGROS           THOIRY       FRA;Gasoline service stations;51.15;EUR;;EUR;51.15;;10.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;07.02.2025;AREA NFC        4763763  69BRON CEDEX FRA;Toll and bridge fees;10.0;EUR;;EUR;10.0;;10.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;07.02.2025;INTERSPORT               THOIRY       FRA;Clothing - sports;35.0;EUR;;EUR;35.0;;10.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;07.02.2025;EPICEZ-TOUT              ANNECY       FRA;Grocery stores;9.0;EUR;;EUR;9.0;;10.02.2025
9898 9898 9898;;JOE DOE;07.02.2025;TRANSFER FROM ACCOUNT;;400.0;EUR;;EUR;;400.0;10.02.2025
9898 9898 9898;;JOE DOE;07.02.2025;TRANSFER FROM ACCOUNT;;1000.0;EUR;;EUR;;1000.0;10.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;07.02.2026;LES PLANARDS             CHAMONIX-MONTFRA;Commercial Sports, Professional Sports Clubs, Athletic Fields, and Sports Promoters;16.8;EUR;;EUR;16.8;;07.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;07.02.2027;ATMB                     74130        FRA;Toll and bridge fees;4.8;EUR;;EUR;4.8;;07.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;07.02.2028;ATMB NFC        4221009  74BONNEVILLE FRA;Toll and bridge fees;2.2;EUR;;EUR;2.2;;07.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;07.02.2029;Thoiry                   Thoiry       FRA;Restaurants;11.9;EUR;;EUR;11.9;;07.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;07.02.2030;ATMB NFC        4221009  74BONNEVILLE FRA;Toll and bridge fees;4.8;EUR;;EUR;4.8;;07.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;07.02.2031;ATMB NFC        4221009  74BONNEVILLE FRA;Toll and bridge fees;2.2;EUR;;EUR;2.2;;07.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;07.02.2032;LE FOURNIL CHAMO         CHAMONIX-MONTFRA;Bakeries;4.7;EUR;;EUR;4.7;;07.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;07.02.2033;CMBR VERTICAL            CHAMONIX-MONTFRA;Estate agency;22.9;EUR;;EUR;22.9;;07.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;07.02.2034;LA BOULANGE              THOIRY       FRA;Bakeries;6.2;EUR;;EUR;6.2;;07.02.2026
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;07.02.2035;G PH D DRAKKARS          CORMELLES LE FRA;Pharmacies;51.55;EUR;;EUR;51.55;;07.02.2027
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;07.02.2036;LA BOULANGE              THOIRY       FRA;Bakeries;2.3;EUR;;EUR;2.3;;07.02.2028
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;04.02.2025;CERN Restaurant no 2     Meyrin       CHE;Restaurants;14.45;CHF;;CHF;14.45;;07.02.2029
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;04.02.2025;NYA*Novae Restauration   218046010    CHE;Grocery stores;2.3;CHF;;CHF;2.3;;07.02.2030
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;03.02.2025;INTERMARCHE              SAINT-GENIS-PFRA;Grocery stores;90.37;EUR;;EUR;90.37;;07.02.2031
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;03.02.2025;NOVAE RESTAURATION       POISSY       FRA;Fast-Food Restaurants;7.25;EUR;;EUR;7.25;;07.02.2032
9898 9898 9898;;JOE DOE;03.02.2025;TRANSFER FROM ACCOUNT;;500.0;EUR;;EUR;;500.0;07.02.2033
9898 9898 9898;;JOE DOE;02.02.2025;TRANSFER FROM ACCOUNT;;50.0;EUR;;EUR;;50.0;07.02.2034
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;02.02.2025;SP TRAVELIN              EPE          NLD;Clothing store;83.98;EUR;;EUR;83.98;;07.02.2035
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;02.02.2026;LA BOULANGE              THOIRY       FRA;Bakeries;7.1;EUR;;EUR;7.1;;07.02.2036
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;02.02.2027;LA BOULANGE              THOIRY       FRA;Bakeries;3.7;EUR;;EUR;3.7;;07.02.2037
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;02.02.2028;KENNZEICHEN.CLICK        SCHWERTE     DEU;Car component;39.9;EUR;;EUR;39.9;;07.02.2038
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;02.02.2029;ANDIAMO sc      4774426  01THOIRY     FRA;Restaurants;12.51;EUR;;EUR;12.51;;03.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;02.02.2030;CIE MONT BLANC           CHAMONIX MONTFRA;Commercial Sports, Professional Sports Clubs, Athletic Fields, and Sports Promoters;180.3;EUR;;EUR;180.3;;31.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;02.02.2031;FEU VERT                 FERNEY VOLTAIFRA;Car component;49.93;EUR;;EUR;49.93;;31.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;02.02.2032;AMAZON.DE* ZO08Y2DY5     LUXEMBOURG   LUX;Digital goods;18.99;EUR;;EUR;18.99;;31.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;02.02.2033;CERN Restaurant no 2     Meyrin       CHE;Restaurants;14.7;CHF;;CHF;14.7;;31.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;02.02.2034;SELECTA SAS              LE BOURGET   FRA;Grocery stores;1.5;EUR;;EUR;1.5;;30.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;02.02.2035;LE PHARO                 PERON        FRA;Gasoline service stations;55.79;EUR;;EUR;55.79;;30.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;02.02.2036;INTERMARCHE              SAINT-GENIS-PFRA;Grocery stores;32.22;EUR;;EUR;32.22;;30.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;29.01.2025;SP TRAVELIN              EPE          NLD;Clothing store;83.98;EUR;;EUR;83.98;;30.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;29.01.2025;SELECTA SAS              LE BOURGET   FRA;Grocery stores;5.5;EUR;;EUR;5.5;;30.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;29.01.2025;NOVAE RESTAURATION       POISSY       FRA;Fast-Food Restaurants;7.25;EUR;;EUR;7.25;;30.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;29.01.2025;LA BOULANGE              THOIRY       FRA;Bakeries;1.1;EUR;;EUR;1.1;;30.01.2026
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;29.01.2025;HAIR THOIRY     4521541  01THOIRY     FRA;Barber or beauty shops;55.0;EUR;;EUR;55.0;;30.01.2027
9898 9898 9898;;JOE DOE;29.01.2025;TRANSFER FROM ACCOUNT;;500.0;EUR;;EUR;;500.0;30.01.2028
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;28.01.2025;VAL SANTE       2170647  THOIRY       FRA;Pharmacies;19.9;EUR;;EUR;19.9;;30.01.2029
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;28.01.2025;NOVAE RESTAURATION       POISSY       FRA;Fast-Food Restaurants;3.1;EUR;;EUR;3.1;;30.01.2030
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;28.01.2025;NOVAE RESTAURATION       POISSY       FRA;Fast-Food Restaurants;7.25;EUR;;EUR;7.25;;30.01.2031
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;27.01.2025;LA BOULANGE              THOIRY       FRA;Bakeries;1.2;EUR;;EUR;1.2;;30.01.2032
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;27.01.2025;NOVAE RESTAURATION       POISSY       FRA;Fast-Food Restaurants;4.65;EUR;;EUR;4.65;;30.01.2033
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;27.01.2025;NOVAE RESTAURATION       POISSY       FRA;Fast-Food Restaurants;3.75;EUR;;EUR;3.75;;30.01.2034
9898 9898 9898;;JOE DOE;26.01.2025;TRANSFER FROM ACCOUNT;;150.0;CHF;;CHF;;150.0;30.01.2035
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;26.01.2026;Restaurant Odeon         Zurich       CHE;Restaurants;60.0;CHF;;CHF;60.0;;30.01.2036
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;26.01.2027;SBB CFF FFS Mobile TicketBern         CHE;Commuter transportation;2.0;CHF;;CHF;2.0;;27.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;26.01.2028;Brezelkonig AG           ZUERICH      CHE;Bakeries;4.1;CHF;;CHF;4.1;;27.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;26.01.2029;Collana Bar e Caffe      Zurich       CHE;Restaurants;20.5;CHF;;CHF;20.5;;27.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;26.01.2030;SBB CFF FFS Mobile TicketBern         CHE;Commuter transportation;46.0;CHF;;CHF;46.0;;27.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;26.01.2031;Backerei-Con. Fleischli ARumlang      CHE;Bakeries;26.0;CHF;;CHF;26.0;;27.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;26.01.2032;Restaurant ZeughauskellerZurich       CHE;Restaurants;110.0;CHF;;CHF;110.0;;27.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;26.01.2033;Parkhaus Urania          Zurich       CHE;Parking & Garages;8.0;CHF;;CHF;8.0;;27.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;25.01.2025;Coli Hospitality AG      Zug          CHE;Restaurants;13.0;CHF;;CHF;13.0;;27.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;25.01.2025;Cafe Plaza Cham GmbH     Cham         CHE;Restaurants;40.8;CHF;;CHF;40.8;;27.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;24.01.2025;SBB CFF FFS Mobile TicketBern         CHE;Commuter transportation;2.0;CHF;;CHF;2.0;;27.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;24.01.2025;Coop-6130 GE Gare CornaviGeneve       CHE;Grocery stores;2.95;CHF;;CHF;2.95;;27.01.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;24.01.2025;CERN Restaurant no 2     Meyrin       CHE;Restaurants;14.45;CHF;;CHF;14.45;;27.01.2025
9898 9898 9898;;JOE DOE;24.01.2025;TRANSFER FROM ACCOUNT;;200.0;CHF;;CHF;;200.0;27.01.2025
;;;;;;;;;;;;
;;;;Total per currency;;;;;;;;Total
;;;;Total card bookings;;;;;CHF;695.50;1650.00;954.50
;;;;Total card bookings;;;;;EUR;2073.13;3233.98;1160.85
